price_comparison_id,product_id,merchant_id,cluster_id,category_id,date_id,offer_quality_id,price,price_difference_from_avg,price_difference_percentage,is_best_offer,price_rank_in_cluster,price_rank_in_category,price_timestamp
1,1,1,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
2,2,2,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
3,3,3,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
4,4,4,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
5,5,5,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
6,6,6,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
7,7,7,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
8,8,8,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
9,9,9,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
10,10,10,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
11,11,11,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
12,12,12,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
13,13,13,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
14,14,14,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
15,15,15,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
16,16,16,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
17,17,17,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
18,18,18,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
19,19,19,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
20,20,20,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
21,21,21,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
22,22,22,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
23,23,23,1,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
24,24,3,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
25,25,2,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
26,26,4,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
27,27,1,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
28,28,5,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
29,29,6,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
30,30,7,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
31,31,9,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
32,32,8,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
33,33,10,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
34,34,11,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
35,35,24,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
36,36,12,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
37,37,14,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
38,38,13,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
39,39,15,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
40,40,22,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
41,41,18,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
42,42,25,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
43,43,20,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
44,44,21,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
45,45,26,2,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
46,46,5,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
47,47,6,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
48,48,3,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
49,49,2,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
50,50,4,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
51,51,7,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
52,52,9,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
53,53,27,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
54,54,8,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
55,55,10,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
56,56,13,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
57,57,1,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
58,58,15,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
59,59,11,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
60,60,14,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
61,61,22,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
62,62,18,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
63,63,17,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
64,64,25,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
65,65,20,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
66,66,21,3,2612,1,1,100000.0,0.0,0.0,True,1,1,2025-06-15 16:54:14
